timestamp,fish_id,x_coordinate,y_coordinate
1755830762.351921,14,322,230
1755830762.351921,13,346,174
1755830762.351921,12,341,322
1755830762.351921,11,321,207
1755830762.351921,10,644,577
1755830762.351921,9,393,201
1755830762.351921,8,666,540
1755830762.351921,7,323,272
1755830762.351921,6,383,344
1755830762.351921,5,383,478
1755830762.351921,4,260,495
1755830762.351921,3,345,404
1755830762.351921,2,278,417
1755830762.351921,1,488,370
1755830765.791064,13,345,170
1755830765.791064,12,342,322
1755830765.791064,11,321,207
1755830765.791064,10,644,577
1755830765.791064,9,393,200
1755830765.791064,8,666,540
1755830765.791064,7,323,273
1755830765.791064,6,383,341
1755830765.791064,5,382,478
1755830765.791064,4,260,496
1755830765.791064,3,346,403
1755830765.791064,2,277,417
1755830765.791064,1,488,370
1755830765.896177,13,345,173
1755830765.896177,12,340,321
1755830765.896177,11,321,207
1755830765.896177,10,645,577
1755830765.896177,9,392,201
1755830765.896177,8,666,539
1755830765.896177,7,323,274
1755830765.896177,6,384,338
1755830765.896177,5,380,479
1755830765.896177,4,259,499
1755830765.896177,3,348,402
1755830765.896177,2,277,417
1755830765.896177,1,490,371
1755830765.9760175,13,346,173
1755830765.9760175,12,336,318
1755830765.9760175,11,322,206
1755830765.9760175,10,645,577
1755830765.9760175,9,391,200
1755830765.9760175,8,666,538
1755830765.9760175,7,325,274
1755830765.9760175,6,384,336
1755830765.9760175,5,378,480
1755830765.9760175,4,256,501
1755830765.9760175,3,349,400
1755830765.9760175,2,276,418
1755830765.9760175,1,491,372
1755830766.0453563,13,345,171
1755830766.0453563,11,322,206
1755830766.0453563,10,644,578
1755830766.0453563,9,390,200
1755830766.0453563,8,666,538
1755830766.0453563,7,327,275
1755830766.0453563,6,383,333
1755830766.0453563,5,377,480
1755830766.0453563,4,255,502
1755830766.0453563,3,349,399
1755830766.0453563,2,276,419
1755830766.0453563,1,492,373
1755830766.1170137,13,344,169
1755830766.1170137,11,322,205
1755830766.1170137,10,644,579
1755830766.1170137,9,390,200
1755830766.1170137,8,667,538
1755830766.1170137,7,329,276
1755830766.1170137,6,385,336
1755830766.1170137,5,377,480
1755830766.1170137,4,254,502
1755830766.1170137,3,349,398
1755830766.1170137,2,277,419
1755830766.1170137,1,493,373
1755830766.1750762,12,332,322
1755830766.1750762,11,321,205
1755830766.1750762,10,644,579
1755830766.1750762,9,391,200
1755830766.1750762,8,667,538
1755830766.1750762,7,330,276
1755830766.1750762,6,384,336
1755830766.1750762,5,377,480
1755830766.1750762,4,254,502
1755830766.1750762,3,349,396
1755830766.1750762,2,276,420
1755830766.1750762,1,493,374
1755830766.2419326,15,1049,667
1755830766.2419326,12,332,323
1755830766.2419326,11,322,203
1755830766.2419326,10,644,579
1755830766.2419326,9,391,200
1755830766.2419326,8,667,538
1755830766.2419326,7,329,278
1755830766.2419326,6,387,342
1755830766.2419326,5,376,481
1755830766.2419326,4,253,504
1755830766.2419326,3,349,395
1755830766.2419326,2,275,422
1755830766.2419326,1,496,374
1755830766.3044431,15,1049,668
1755830766.3044431,13,344,169
1755830766.3044431,12,332,324
1755830766.3044431,11,323,202
1755830766.3044431,10,644,579
1755830766.3044431,9,389,199
1755830766.3044431,8,668,537
1755830766.3044431,7,329,281
1755830766.3044431,6,387,342
1755830766.3044431,5,375,482
1755830766.3044431,4,252,504
1755830766.3044431,3,350,393
1755830766.3044431,2,273,423
1755830766.3044431,1,497,375
1755830766.3645105,15,1049,667
1755830766.3645105,13,344,170
1755830766.3645105,12,332,324
1755830766.3645105,11,323,202
1755830766.3645105,10,644,579
1755830766.3645105,9,388,199
1755830766.3645105,8,669,537
1755830766.3645105,7,328,282
1755830766.3645105,6,383,339
1755830766.3645105,5,374,482
1755830766.3645105,4,252,505
1755830766.3645105,3,350,391
1755830766.3645105,2,272,424
1755830766.3645105,1,498,376
1755830766.4285066,13,342,170
1755830766.4285066,12,331,324
1755830766.4285066,11,324,202
1755830766.4285066,10,644,580
1755830766.4285066,9,387,199
1755830766.4285066,8,669,537
1755830766.4285066,7,329,284
1755830766.4285066,6,383,338
1755830766.4285066,5,374,483
1755830766.4285066,4,251,505
1755830766.4285066,3,350,391
1755830766.4285066,2,272,426
1755830766.4285066,1,500,376
1755830766.4920318,13,339,169
1755830766.4920318,12,330,322
1755830766.4920318,11,324,202
1755830766.4920318,10,643,579
1755830766.4920318,9,386,199
1755830766.4920318,8,669,537
1755830766.4920318,7,329,284
1755830766.4920318,6,385,340
1755830766.4920318,5,373,483
1755830766.4920318,4,251,506
1755830766.4920318,3,350,389
1755830766.4920318,2,271,428
1755830766.4920318,1,502,377
1755830766.5533333,13,338,169
1755830766.5533333,12,328,321
1755830766.5533333,11,324,202
1755830766.5533333,10,643,578
1755830766.5533333,9,385,199
1755830766.5533333,8,670,536
1755830766.5533333,7,330,286
1755830766.5533333,6,386,342
1755830766.5533333,5,373,483
1755830766.5533333,4,251,507
1755830766.5533333,3,349,387
1755830766.5533333,2,271,429
1755830766.5533333,1,504,378
1755830766.6129358,13,338,169
1755830766.6129358,12,327,320
1755830766.6129358,11,325,201
1755830766.6129358,10,643,579
1755830766.6129358,9,385,199
1755830766.6129358,8,670,537
1755830766.6129358,7,329,287
1755830766.6129358,6,387,344
1755830766.6129358,5,372,484
1755830766.6129358,4,252,509
1755830766.6129358,3,347,385
1755830766.6129358,2,271,429
1755830766.6129358,1,506,379
1755830766.6726038,16,324,225
1755830766.6726038,13,337,168
1755830766.6726038,12,327,320
1755830766.6726038,11,325,200
1755830766.6726038,10,643,578
1755830766.6726038,9,386,199
1755830766.6726038,8,671,537
1755830766.6726038,7,329,287
1755830766.6726038,6,389,345
1755830766.6726038,5,372,483
1755830766.6726038,4,252,510
1755830766.6726038,3,346,383
1755830766.6726038,2,270,430
1755830766.6726038,1,507,380
1755830766.7321167,13,334,166
