timestamp,fish_id,x_coordinate,y_coordinate
1755831515.3448436,14,322,230
1755831515.3448436,13,346,174
1755831515.3448436,12,341,322
1755831515.3448436,11,321,207
1755831515.3448436,10,644,577
1755831515.3448436,9,393,201
1755831515.3448436,8,666,540
1755831515.3448436,7,323,272
1755831515.3448436,6,383,344
1755831515.3448436,5,383,478
1755831515.3448436,4,260,495
1755831515.3448436,3,345,404
1755831515.3448436,2,278,417
1755831515.3448436,1,488,370
1755831517.727515,13,345,170
1755831517.727515,12,342,322
1755831517.727515,11,321,207
1755831517.727515,10,644,577
1755831517.727515,9,393,200
1755831517.727515,8,666,540
1755831517.727515,7,323,273
1755831517.727515,6,383,341
1755831517.727515,5,382,478
1755831517.727515,4,260,496
1755831517.727515,3,346,403
1755831517.727515,2,277,417
1755831517.727515,1,488,370
1755831517.7908912,13,345,173
1755831517.7908912,12,340,321
1755831517.7908912,11,321,207
1755831517.7908912,10,645,577
1755831517.7908912,9,392,201
1755831517.7908912,8,666,539
1755831517.7908912,7,323,274
1755831517.7908912,6,384,338
1755831517.7908912,5,380,479
1755831517.7908912,4,259,499
1755831517.7908912,3,348,402
1755831517.7908912,2,277,417
1755831517.7908912,1,490,371
1755831517.847632,13,346,173
1755831517.847632,12,336,318
1755831517.847632,11,322,206
1755831517.847632,10,645,577
1755831517.847632,9,391,200
1755831517.847632,8,666,538
1755831517.847632,7,325,274
1755831517.847632,6,384,336
1755831517.847632,5,378,480
1755831517.847632,4,256,501
1755831517.847632,3,349,400
1755831517.847632,2,276,418
1755831517.847632,1,491,372
1755831517.9088876,13,345,171
1755831517.9088876,11,322,206
1755831517.9088876,10,644,578
1755831517.9088876,9,390,200
1755831517.9088876,8,666,538
1755831517.9088876,7,327,275
1755831517.9088876,6,383,333
1755831517.9088876,5,377,480
1755831517.9088876,4,255,502
1755831517.9088876,3,349,399
1755831517.9088876,2,276,419
1755831517.9088876,1,492,373
1755831517.9714699,13,344,169
1755831517.9714699,11,322,205
1755831517.9714699,10,644,579
1755831517.9714699,9,390,200
1755831517.9714699,8,667,538
1755831517.9714699,7,329,276
1755831517.9714699,6,385,336
1755831517.9714699,5,377,480
1755831517.9714699,4,254,502
1755831517.9714699,3,349,398
1755831517.9714699,2,277,419
1755831517.9714699,1,493,373
1755831518.0247476,12,332,322
1755831518.0247476,11,321,205
1755831518.0247476,10,644,579
1755831518.0247476,9,391,200
1755831518.0247476,8,667,538
1755831518.0247476,7,330,276
1755831518.0247476,6,384,336
1755831518.0247476,5,377,480
1755831518.0247476,4,254,502
1755831518.0247476,3,349,396
1755831518.0247476,2,276,420
1755831518.0247476,1,493,374
1755831518.079351,15,1049,667
1755831518.079351,12,332,323
1755831518.079351,11,322,203
1755831518.079351,10,644,579
1755831518.079351,9,391,200
1755831518.079351,8,667,538
1755831518.079351,7,329,278
1755831518.079351,6,387,342
1755831518.079351,5,376,481
1755831518.079351,4,253,504
1755831518.079351,3,349,395
1755831518.079351,2,275,422
1755831518.079351,1,496,374
1755831518.1389642,15,1049,668
1755831518.1389642,13,344,169
1755831518.1389642,12,332,324
1755831518.1389642,11,323,202
1755831518.1389642,10,644,579
1755831518.1389642,9,389,199
1755831518.1389642,8,668,537
1755831518.1389642,7,329,281
1755831518.1389642,6,387,342
1755831518.1389642,5,375,482
1755831518.1389642,4,252,504
1755831518.1389642,3,350,393
1755831518.1389642,2,273,423
1755831518.1389642,1,497,375
1755831518.1948392,15,1049,667
1755831518.1948392,13,344,170
1755831518.1948392,12,332,324
1755831518.1948392,11,323,202
1755831518.1948392,10,644,579
1755831518.1948392,9,388,199
1755831518.1948392,8,669,537
1755831518.1948392,7,328,282
1755831518.1948392,6,383,339
1755831518.1948392,5,374,482
1755831518.1948392,4,252,505
1755831518.1948392,3,350,391
1755831518.1948392,2,272,424
1755831518.1948392,1,498,376
1755831518.2525954,13,342,170
1755831518.2525954,12,331,324
1755831518.2525954,11,324,202
1755831518.2525954,10,644,580
1755831518.2525954,9,387,199
1755831518.2525954,8,669,537
1755831518.2525954,7,329,284
1755831518.2525954,6,383,338
